sample-id	Sample-or-Control	day	Fung-Treatment	PMA-Treatment	Sample
#q2:types	categorical	numeric	categorical	categorical	categorical
FvP-0d-minus-CH1	True Sample	0	Copper High	FALSE	FvP 0d minus CH1
FvP-0d-minus-CH2	True Sample	0	Copper High	FALSE	FvP 0d minus CH2
FvP-0d-minus-CH3	True Sample	0	Copper High	FALSE	FvP 0d minus CH3
FvP-0d-minus-CL1	True Sample	0	Copper Low	FALSE	FvP 0d minus CL1
FvP-0d-minus-CL2	True Sample	0	Copper Low	FALSE	FvP 0d minus CL2
FvP-0d-minus-CL3	True Sample	0	Copper Low	FALSE	FvP 0d minus CL3
FvP-0d-minus-SH1	True Sample	0	Sulphur High	FALSE	FvP 0d minus SH1
FvP-0d-minus-SH2	True Sample	0	Sulphur High	FALSE	FvP 0d minus SH2
FvP-0d-minus-SH3	True Sample	0	Sulphur High	FALSE	FvP 0d minus SH3
FvP-0d-minus-SL1	True Sample	0	Sulphur Low	FALSE	FvP 0d minus SL1
FvP-0d-minus-SL2	True Sample	0	Sulphur Low	FALSE	FvP 0d minus SL2
FvP-0d-minus-SL3	True Sample	0	Sulphur Low	FALSE	FvP 0d minus SL3
FvP-0d-minus-W1	True Sample	0	Water	FALSE	FvP 0d minus W1
FvP-0d-minus-W2	True Sample	0	Water	FALSE	FvP 0d minus W2
FvP-0d-minus-W3	True Sample	0	Water	FALSE	FvP 0d minus W3
FvP-0d-plus-CH1	True Sample	0	Copper High	TRUE	FvP 0d plus CH1
FvP-0d-plus-CH2	True Sample	0	Copper High	TRUE	FvP 0d plus CH2
FvP-0d-plus-CH3	True Sample	0	Copper High	TRUE	FvP 0d plus CH3
FvP-0d-plus-CL1	True Sample	0	Copper Low	TRUE	FvP 0d plus CL1
FvP-0d-plus-CL2	True Sample	0	Copper Low	TRUE	FvP 0d plus CL2
FvP-0d-plus-CL3	True Sample	0	Copper Low	TRUE	FvP 0d plus CL3
